date,time,sex,case,death,source,iso_a3
2020-03-02,0,male,1591,13,kaggle,KOR
2020-03-02,0,female,2621,9,kaggle,KOR
2020-03-03,0,male,1810,16,kaggle,KOR
2020-03-03,0,female,3002,12,kaggle,KOR
2020-03-04,0,male,1996,20,kaggle,KOR
2020-03-04,0,female,3332,12,kaggle,KOR
2020-03-05,0,male,2149,21,kaggle,KOR
2020-03-05,0,female,3617,14,kaggle,KOR
2020-03-06,0,male,2345,25,kaggle,KOR
2020-03-06,0,female,3939,17,kaggle,KOR
2020-03-07,0,male,2522,26,kaggle,KOR
2020-03-07,0,female,4245,18,kaggle,KOR
2020-03-08,0,male,2694,29,kaggle,KOR
2020-03-08,0,female,4440,20,kaggle,KOR
2020-03-09,0,male,2799,31,kaggle,KOR
2020-03-09,0,female,4583,20,kaggle,KOR
2020-03-10,0,male,2852,33,kaggle,KOR
2020-03-10,0,female,4661,21,kaggle,KOR
2020-03-11,0,male,2947,35,kaggle,KOR
2020-03-11,0,female,4808,25,kaggle,KOR
2020-03-12,0,male,2994,38,kaggle,KOR
2020-03-12,0,female,4875,28,kaggle,KOR
2020-03-13,0,male,3043,39,kaggle,KOR
2020-03-13,0,female,4936,28,kaggle,KOR
2020-03-14,0,male,3100,41,kaggle,KOR
2020-03-14,0,female,4986,31,kaggle,KOR
2020-03-15,0,male,3136,41,kaggle,KOR
2020-03-15,0,female,5026,34,kaggle,KOR
2020-03-16,0,male,3169,41,kaggle,KOR
2020-03-16,0,female,5067,34,kaggle,KOR
2020-03-17,0,male,3200,44,kaggle,KOR
2020-03-17,0,female,5120,37,kaggle,KOR
2020-03-18,0,male,3240,45,kaggle,KOR
2020-03-18,0,female,5173,39,kaggle,KOR
2020-03-19,0,male,3296,49,kaggle,KOR
2020-03-19,0,female,5269,42,kaggle,KOR
2020-03-20,0,male,3330,51,kaggle,KOR
2020-03-20,0,female,5322,43,kaggle,KOR
2020-03-21,0,male,3387,54,kaggle,KOR
2020-03-21,0,female,5412,48,kaggle,KOR
2020-03-22,0,male,3430,55,kaggle,KOR
2020-03-22,0,female,5467,49,kaggle,KOR
2020-03-23,0,male,3457,58,kaggle,KOR
2020-03-23,0,female,5504,53,kaggle,KOR
2020-03-24,0,male,3497,60,kaggle,KOR
2020-03-24,0,female,5540,60,kaggle,KOR
2020-03-25,0,male,3550,64,kaggle,KOR
2020-03-25,0,female,5587,62,kaggle,KOR
2020-03-26,0,male,3598,68,kaggle,KOR
2020-03-26,0,female,5643,63,kaggle,KOR
2020-03-27,0,male,3638,75,kaggle,KOR
2020-03-27,0,female,5694,64,kaggle,KOR
2020-03-28,0,male,3736,77,kaggle,KOR
2020-03-28,0,female,5742,67,kaggle,KOR
2020-03-29,0,male,3799,78,kaggle,KOR
2020-03-29,0,female,5784,74,kaggle,KOR
2020-03-30,0,male,3834,80,kaggle,KOR
2020-03-30,0,female,5827,78,kaggle,KOR
